time,open,high,low,close,SMA UCL Bands,SMA LCL Bands,Candles (Цена откр.),Candles (Макс.,Candles (Мин.),Candles (Закрыть),Z-Score,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Down Trendline,Up Trendline,Volume,Volume MA,24H Volume
1755283230,0.2853,0.2857,0.2845,0.2849,NaN,NaN,0,0,0,0,1.3424039216482997,0,1,2,3,-1,-2,-3,NaN,NaN,47913,173335.58,66404699.672800004
1755283260,0.2849,0.2849,0.2844,0.2845,NaN,NaN,0,0,0,0,0.9839227301086165,0,1,2,3,-1,-2,-3,NaN,NaN,9356,172113.73,66404699.672800004
1755283290,0.2844,0.2845,0.2842,0.2842,NaN,NaN,0,0,0,0,0.7136820137836605,0,1,2,3,-1,-2,-3,NaN,NaN,13310,171548.48,66411141.35
1755283320,0.2843,0.285,0.2838,0.2849,NaN,NaN,0,0,0,0,1.2667650334319653,0,1,2,3,-1,-2,-3,NaN,NaN,67658,171502.965,66411141.35
1755283350,0.2849,0.2859,0.2848,0.2858,NaN,NaN,0,0,0,0,1.936279814682903,0,1,2,3,-1,-2,-3,NaN,NaN,58696,169919.59,66447253.3232
1755283380,0.2857,0.2859,0.2853,0.2853,NaN,NaN,0,0,0,0,1.4936890113369778,0,1,2,3,-1,-2,-3,NaN,NaN,9818,163782.18,66447253.3232
1755283410,0.2852,0.2862,0.2852,0.2859,NaN,NaN,0,0,0,0,1.9098724081178786,0,1,2,3,-1,-2,-3,NaN,NaN,40296,158737.02,66461580.915800005
1755283440,0.286,0.2875,0.286,0.2863,NaN,NaN,0,0,0,0,2.136857961802175,0,1,2,3,-1,-2,-3,NaN,NaN,143277,158352.945,66461580.915800005
1755283470,0.2863,0.287,0.2861,0.2863,NaN,NaN,0,0,0,0,2.049934052865666,0,1,2,3,-1,-2,-3,NaN,0.2856666666666664,195854,158227.43,66558674.12110001
1755283500,0.2865,0.2866,0.2852,0.2854,NaN,NaN,0,0,0,0,1.3190103367756643,0,1,2,3,-1,-2,-3,NaN,0.28573333333333306,159125,157228.63,66558674.12110001
1755283530,0.2854,0.2861,0.2854,0.2854,NaN,NaN,0,0,0,0,1.2857778845745045,0,1,2,3,-1,-2,-3,NaN,NaN,72876,156041.165,66624887.20650001
1755283560,0.2855,0.2864,0.2855,0.2864,NaN,NaN,0,0,0,0,1.9704247200075937,0,1,2,3,-1,-2,-3,NaN,NaN,90030,155414.8,66624887.20650001
1755283590,0.2863,0.2892,0.2859,0.2889,NaN,NaN,0,0,0,0,3.511891166502089,0,1,2,3,-1,-2,-3,NaN,NaN,537683,156576.73,66806233.49220001
1755283620,0.2889,0.29,0.2885,0.2894,NaN,NaN,0,0,0,0,3.529926193118364,0,1,2,3,-1,-2,-3,NaN,NaN,587183,159073.625,66806233.49220001
1755283650,0.2895,0.2906,0.2891,0.2902,NaN,NaN,0,0,0,0,3.674258916602386,0,1,2,3,-1,-2,-3,NaN,0.28606666666666636,431684,160582.995,67101908.69560001
1755283680,0.2901,0.2919,0.2895,0.2912,NaN,NaN,0,0,0,0,3.796453611598542,0,1,2,3,-1,-2,-3,NaN,0.286133333333333,546283,161364.745,67101908.69560001
1755283710,0.2909,0.2917,0.2905,0.2912,NaN,NaN,0,0,0,0,3.441790069163608,0,1,2,3,-1,-2,-3,NaN,0.2861999999999997,349957,161697.595,67362893.78360002
1755283740,0.2911,0.2912,0.2904,0.2906,NaN,NaN,0,0,0,0,2.930084906869075,0,1,2,3,-1,-2,-3,NaN,0.28626666666666634,198335,162373.545,67362893.78360002
1755283770,0.2904,0.2912,0.2904,0.2904,NaN,NaN,0,0,0,0,2.6643123356042797,0,1,2,3,-1,-2,-3,NaN,0.286333333333333,111939,162070.975,67452997.35320002
1755283800,0.2904,0.2913,0.2904,0.2908,NaN,NaN,0,0,0,0,2.6828986566537285,0,1,2,3,-1,-2,-3,NaN,0.28639999999999965,136078,160356.11,67452997.35320002
1755283830,0.2909,0.2912,0.2905,0.2908,NaN,NaN,0,0,0,0,2.5324124213892567,0,1,2,3,-1,-2,-3,NaN,0.2864666666666663,83296,158955.35,67516791.31240001
1755283860,0.2909,0.291,0.29,0.29,NaN,NaN,0,0,0,0,2.1020822259766074,0,1,2,3,-1,-2,-3,NaN,0.286533333333333,139653,159013.055,67516791.31240001
