time,open,high,low,close,SMA UCL Bands,SMA LCL Bands,Candles (Цена откр.),Candles (Макс.,Candles (Мин.),Candles (Закрыть),Z-Score,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Down Trendline,Up Trendline,Volume,Volume MA,24H Volume
1755268830,0.020784,0.020876,0.020781,0.02086,NaN,NaN,0,0,0,0,-0.2513802609347306,0,1,2,3,-1,-2,-3,NaN,0.020463827586206747,10701764,29898072.525,597937462.5194322
1755268860,0.020861,0.020925,0.020845,0.020855,NaN,NaN,0,0,0,0,-0.28669079466620195,0,1,2,3,-1,-2,-3,NaN,0.02046655172413778,7336238,29838666.615,597937462.5194322
1755268890,0.02084,0.020882,0.020816,0.02082,NaN,NaN,0,0,0,0,-0.499505702116157,0,1,2,3,-1,-2,-3,NaN,0.020469275862068814,8307920,29814755.885,598180621.1338522
1755268920,0.020819,0.020846,0.020776,0.020789,NaN,NaN,0,0,0,0,-0.68492335271872,0,1,2,3,-1,-2,-3,NaN,0.020471999999999848,12027462,29830878.51,598180621.1338522
1755268950,0.020789,0.020818,0.020732,0.020807,NaN,NaN,0,0,0,0,-0.5558345428669241,0,1,2,3,-1,-2,-3,NaN,0.02047472413793088,15268719,29820256.645,598636559.1501993
1755268980,0.02081,0.020816,0.020605,0.020652,NaN,NaN,0,0,0,0,-1.4942382037741007,0,1,2,3,-1,-2,-3,NaN,0.020477448275861915,26754288,29923221.81,598636559.1501993
1755269010,0.020653,0.020706,0.020619,0.020673,NaN,NaN,0,0,0,0,-1.3251123414299042,0,1,2,3,-1,-2,-3,NaN,0.02048017241379295,12372711,29938497.66,599369761.2880063
1755269040,0.020675,0.020726,0.020613,0.020625,NaN,NaN,0,0,0,0,-1.5685480143689925,0,1,2,3,-1,-2,-3,NaN,0.020482896551723983,11262230,29892994.72,599369761.2880063
1755269070,0.020633,0.020661,0.020559,0.020581,NaN,NaN,0,0,0,0,-1.769278433912153,0,1,2,3,-1,-2,-3,NaN,0.020485620689655017,15782408,29916646.14,599786095.0495583
1755269100,0.020579,0.020708,0.020573,0.020617,NaN,NaN,0,0,0,0,-1.5223830784722165,0,1,2,3,-1,-2,-3,0.02066908108108109,NaN,19131592,29945850.955,599786095.0495583
